datetime, TC_4, TC_3, TC_2, TC_1, TC_8, TC_7, TC_6, TC_5, Fan Current L, Fan Currrent R, T_L, RH_L, T_R, RH_R, T_Out, RH_Out,
1491823251,29.71249962,34.36249924,30.95000076,33.72499847,24.23749924,24.98749924,25.0625,24.23749924,52.52000046,63.31999969,24.28969193,25.90981865,29.59296608,41.36262894,22.70000076,32.20000076, 
1491823284,29.41250038,33.57500076,30.61249924,32.97499847,24.27499962,24.83749962,25.02499962,24.20000076,55.31999969,63,24.24696732,25.64583778,29.35530663,39.70397568,22.70000076,32.40000153, 
1491823317,29.11249924,32.67499924,30.27499962,32.11249924,24.27499962,24.46249962,24.91250038,24.08749962,58.20000076,53.79999924,24.19089127,25.4337368,29.17105293,38.25284195,22.79999924,32.59999847, 
1491823351,28.92499924,31.73749924,29.9375,31.13750076,24.23749924,23.89999962,24.83749962,23.89999962,45.91999817,48.91999817,24.19089127,25.20637894,28.97344971,37.01991272,22.79999924,32.29999924, 
1491823384,28.39999962,30.95000076,29.60000038,30.3125,24.20000076,23.41250038,24.76250076,23.67499924,56.79999924,48.11999893,24.20424271,24.96681213,28.80521774,35.86175156,22.89999962,31.60000038, 
1491823417,28.02499962,30.38750076,29.14999962,29.75,23.97500038,23.07500076,24.6875,23.48749924,61.31999969,55.72000122,24.26031876,24.73945236,28.62363625,34.89128113,22.89999962,31, 
1491823450,27.61249924,29.89999962,28.73749924,29.26250076,23.97500038,22.88750076,24.64999962,23.375,49.79999924,60.72000122,24.319067,24.50598907,28.46608734,33.94827271,23,30.79999924, 
1491823483,27.27499962,29.41250038,28.32500076,28.8125,23.86249924,22.77499962,24.57500076,23.29999924,59.79999924,62.52000046,24.40451622,24.19012833,28.29785538,33.13801956,23,30.60000038, 
1491823516,26.89999962,29,27.98749924,28.4375,23.78750038,22.70000076,24.57500076,23.29999924,60.40000153,55.91999817,24.53002167,24.03753662,28.14564705,32.37048721,23.10000038,30.60000038, 
1491823549,26.5625,28.625,27.61249924,28.0625,23.71249962,22.625,24.57500076,23.29999924,57.11999893,48.40000153,24.65552711,23.80407333,27.97741699,31.70977402,23.10000038,31, 
1491823582,26.41250038,28.28750038,27.3125,27.76250076,23.71249962,22.58749962,24.57500076,23.375,57.52000046,67.80000305,24.81040573,23.60418129,27.7931633,31.14671516,23.20000076,31.39999962, 
1491823615,26,27.98749924,27.08749962,27.42499924,23.71249962,22.625,24.61249924,23.41250038,58.79999924,49.11999893,24.93858337,23.43327904,27.65163612,30.5195694,23.20000076,31.39999962, 
1491823648,25.73749924,27.6875,26.78750038,27.35000038,23.75,22.66250038,24.64999962,23.45000076,54.40000153,51,25.05073547,23.29594803,27.4994278,30.05722046,23.29999924,30.89999962, 
1491823681,25.47500038,27.38750076,26.52499962,26.86249924,23.78750038,22.70000076,24.6875,23.48749924,52.20000076,51.40000153,25.09346199,23.19066238,27.35523033,29.57808876,23.39999962,30.29999924, 
1491823714,25.25,27.125,26.26250076,26.60000038,23.82500076,22.73749924,24.72500038,23.48749924,61.11999893,59.79999924,25.10681343,23.17387581,27.18699837,29.16456795,23.39999962,30.10000038, 
1491823747,25.02499962,26.89999962,26.07500076,26.375,23.86249924,22.77499962,24.76250076,23.52499962,59.11999893,71.59999847,25.08011055,23.11894417,27.03211975,28.77088547,23.39999962,30.10000038, 
1491823780,24.79999924,26.63750076,25.8125,26.14999962,23.89999962,22.8125,24.76250076,23.52499962,51.59999847,48.20000076,25.06675911,23.06401253,26.86655998,28.41077232,23.39999962,30.29999924, 
1491823813,24.72500038,26.45000076,25.58749962,25.96249962,23.89999962,22.8125,24.76250076,23.52499962,63,51.91999817,25.03738403,23.04570007,26.75440598,28.0201416,23.5,30.39999962, 
1491823846,24.38750076,26.22500038,25.47500038,25.73749924,23.89999962,22.85000038,24.76250076,23.52499962,49,57.79999924,24.99465942,22.98924255,26.61020851,27.74090195,23.5,30.70000076, 
1491823880,24.20000076,26,25.21249962,25.58749962,23.75,22.85000038,24.76250076,23.48749924,57.91999817,58.79999924,24.92255974,22.93125725,26.47135162,27.43419456,23.5,30.70000076, 
1491823913,24.01250076,25.8125,25.02499962,25.36249924,23.86249924,22.77499962,24.72500038,23.45000076,53.31999969,64.51999664,24.85313225,22.92515373,26.34584618,27.16105843,23.60000038,30.39999962, 
1491823946,23.82500076,25.625,24.875,25.17499924,23.82500076,22.77499962,24.6875,23.33749962,68.59999847,60.72000122,24.74097824,22.88090324,26.21767044,26.86350822,23.60000038,30.10000038, 
1491823979,23.67499924,25.47500038,24.6875,24.98749924,23.78750038,22.73749924,24.61249924,23.29999924,62.52000046,46.40000153,24.68490028,22.84275627,26.13221931,26.61173439,23.60000038,30, 
1491824012,23.5625,25.28750038,24.53750038,24.83749962,23.75,22.66250038,24.57500076,23.26250076,56.20000076,56.40000153,24.61547279,22.83817863,26.00671387,26.38742638,23.70000076,30.29999924, 
1491824045,23.52499962,25.17499924,24.38750076,24.72500038,23.67499924,22.625,24.5,23.22500038,55.59999847,66.80000305,24.54337311,22.796978,25.9079113,26.13412666,23.70000076,30.5, 
1491824078,23.22500038,25.02499962,24.3125,24.57500076,23.63750076,22.54999924,24.46249962,23.14999962,46.52000046,66.19999695,24.46059418,22.7023735,25.80910873,25.87472343,23.79999924,30.39999962, 
1491824111,23.11249924,24.875,24.125,24.64999962,23.5625,22.51250076,24.38750076,23.07500076,52.20000076,52.40000153,24.40451622,22.64591408,25.71297836,25.67177773,23.79999924,30.20000076, 
1491824144,23,24.76250076,24.01250076,24.3125,23.52499962,22.39999962,24.35000038,23.03750038,62.31999969,62.79999924,24.36179161,22.55130768,25.64087868,25.46578217,23.79999924,30, 
1491824177,22.88750076,24.61249924,23.86249924,24.20000076,23.45000076,22.39999962,24.27499962,23,46.91999817,58.59999847,24.319067,22.49485016,25.55809784,25.3101387,23.89999962,30, 
1491824210,22.77499962,24.53750038,23.75,24.08749962,23.375,22.36249924,24.23749924,22.92499924,56.91999817,61.59999847,24.26031876,22.45822906,25.46997833,25.07209969,23.89999962,30.20000076, 
1491824243,22.66250038,24.38750076,23.63750076,23.9375,23.33749962,22.32500076,24.16250038,22.88750076,50.59999847,60.20000076,24.21759415,22.40024376,25.38719749,24.99885559,24,30.20000076, 
1491824276,22.70000076,24.27499962,23.52499962,23.86249924,23.26250076,22.25,24.125,22.8125,54.40000153,65.91999817,24.13481331,22.41245079,25.31777,24.86152458,24,30.10000038, 
1491824309,22.47500038,24.27499962,23.45000076,23.75,23.22500038,22.21249962,24.04999924,22.77499962,51,64.51999664,24.10544014,22.35294151,25.21896744,24.65705299,24,30.29999924, 
1491824342,22.32500076,24.08749962,23.29999924,23.86249924,23.14999962,22.13750076,24.01250076,22.70000076,53.20000076,63.40000153,24.04936218,22.31632042,25.14953804,24.53803253,24,30.70000076, 
1491824375,22.28750038,23.97500038,23.22500038,23.5625,23.11249924,22.0625,23.97500038,22.66250038,55.20000076,56.40000153,24.00930786,22.22171402,25.06408882,24.46479034,24.10000038,31.10000038, 
1491824409,22.21249962,23.89999962,23.14999962,23.48749924,23.07500076,22.0625,23.89999962,22.625,69.80000305,61.59999847,23.99328613,22.20645523,25.00801086,24.29846573,24.10000038,31.29999924, 
1491824442,22.10000038,23.78750038,23.03750038,23.41250038,23,22.02499962,23.86249924,22.625,46.20000076,69.19999695,23.96658325,22.18509102,24.96795654,24.17639351,24.20000076,31.20000076, 
1491824475,22.02499962,23.71249962,22.96249962,23.29999924,22.96249962,21.98749924,23.82500076,22.54999924,63.11999893,50.79999924,23.93720818,22.05996704,24.93858337,24.00549316,24.20000076,31, 
1491824508,21.95000076,23.63750076,22.88750076,23.22500038,22.92499924,21.95000076,23.78750038,22.54999924,45.31999969,65.72000122,23.91050529,22.03860474,24.85313225,23.82238579,24.29999924,30.5, 
1491824541,21.875,23.71249962,22.8125,23.1875,22.88750076,21.91250038,23.75,22.47500038,60.91999817,54.91999817,23.89715385,22.0340271,24.83711052,23.80102158,24.29999924,29.79999924, 
1491824574,21.76250076,23.48749924,22.73749924,23.33749962,22.85000038,21.875,23.71249962,22.47500038,46.11999893,60,23.82505608,22.01571655,24.76768112,23.68505287,24.39999962,29.29999924, 
1491824607,21.72500038,23.45000076,22.66250038,23.03750038,22.8125,21.79999924,23.67499924,22.4375,57.91999817,56.31999969,23.81170273,21.90890312,24.71160507,23.58434486,24.5,29.20000076, 
1491824640,21.6875,23.41250038,22.58749962,23,22.77499962,21.83749962,23.60000038,22.39999962,48.72000122,55,23.76897812,21.87228203,24.66887856,23.51110077,24.5,29.29999924, 
1491824673,21.61249924,23.375,22.54999924,22.96249962,22.70000076,21.79999924,23.5625,22.39999962,51,61.79999924,23.76897812,21.83260918,24.64217567,23.36919212,24.60000038,29.29999924, 
1491824706,21.5,23.33749962,22.4375,22.92499924,22.66250038,21.76250076,23.52499962,22.36249924,62.72000122,50.20000076,23.74227524,21.81429863,24.59945107,23.29594803,24.70000076,29.29999924, 
1491824739,21.42499924,23.5625,22.28750038,22.96249962,22.54999924,21.79999924,23.48749924,22.32500076,44.40000153,49.79999924,23.74227524,21.81429863,24.55672455,23.2181282,24.70000076,29.5, 
1491824772,21.16250038,24.16250038,22.10000038,23.33749962,22.47500038,22.10000038,23.48749924,22.4375,63.91999817,47,23.7289238,21.72121811,24.54337311,23.10826302,24.79999924,29.70000076, 
1491824805,21.04999924,24.6875,21.98749924,24.16250038,22.39999962,22.70000076,23.52499962,22.73749924,57.91999817,66.91999817,23.71290207,21.65255165,24.50331879,23.08690071,24.89999962,29.70000076, 
1491824838,21.04999924,25.32500076,21.95000076,24.53750038,22.39999962,23.33749962,23.60000038,23.14999962,54.79999924,52,23.7289238,21.63576698,24.47394562,22.97703552,25,29.39999962, 
1491824871,21.08749962,25.58749962,21.95000076,24.91250038,22.4375,23.86249924,23.63750076,23.45000076,51,47.11999893,23.7289238,21.6128788,24.50331879,22.83054924,25.10000038,28.89999962, 
1491824904,21.16250038,25.73749924,22.02499962,25.02499962,22.54999924,24.04999924,23.67499924,23.60000038,58.91999817,61.79999924,23.68352699,21.6342411,24.50331879,22.72373581,25.20000076,28.29999924, 
1491824938,21.23749924,25.85000038,22.13750076,25.17499924,22.66250038,24.16250038,23.71249962,23.75,57.11999893,56.59999847,23.67017555,21.54268646,24.57274818,22.59708595,25.29999924,27.89999962, 
1491824971,21.38750076,25.96249962,22.25,25.28750038,22.73749924,24.27499962,23.78750038,23.82500076,51.79999924,76.91999817,23.68352699,21.52590179,24.61280251,22.49485016,25.39999962,27.79999924, 
1491825004,21.5,26.14999962,22.36249924,25.36249924,22.85000038,24.35000038,23.78750038,23.89999962,50.72000122,81.80000305,23.74227524,21.42061424,24.75432968,22.34073448,25.5,28, 
1491825037,21.64999962,26.14999962,22.51250076,25.39999962,22.92499924,24.38750076,23.86249924,23.97500038,51.79999924,64.72000122,23.86778069,21.39162254,24.87983513,22.18509102,25.60000038,28.29999924, 
1491825070,21.79999924,26.1875,22.66250038,25.47500038,22.96249962,24.42499924,23.9375,24.08749962,49.40000153,58.79999924,23.96658325,21.21919632,25.06408882,22.01419067,25.70000076,28.60000038, 
1491825103,21.98749924,26.26250076,22.8125,25.54999924,23.14999962,24.5,23.97500038,24.23749924,53.91999817,63.31999969,24.0920887,21.07271004,25.21896744,21.85854912,25.79999924,28.70000076, 
1491825136,22.21249962,26.375,23,25.625,23.22500038,24.57500076,24.08749962,24.35000038,54.40000153,61,24.30304337,20.97505188,25.34447289,21.7944603,25.89999962,28.60000038, 
1491825169,22.36249924,26.45000076,23.14999962,25.66250038,23.33749962,24.61249924,24.20000076,24.53750038,47.11999893,54.52000046,24.47394562,20.84687614,25.4993515,21.74868393,26,28.39999962, 
1491825202,22.58749962,26.52499962,23.29999924,25.73749924,23.48749924,24.6875,24.35000038,24.6875,62.20000076,63.31999969,24.71160507,20.75074387,25.64087868,21.6342411,26.10000038,28.29999924, 
1491825235,22.8125,26.71249962,23.45000076,25.8125,23.63750076,24.76250076,24.5,24.875,48.72000122,46.91999817,24.93858337,20.58747292,25.82246208,21.4969101,26.20000076,28.20000076, 
1491825268,23,26.75,23.63750076,25.88750076,23.82500076,24.875,24.6875,25.0625,53.79999924,68.80000305,25.205616,20.49591827,25.9773407,21.41451073,26.29999924,28, 
1491825301,23.1875,26.89999962,23.75,25.96249962,23.86249924,25.0625,24.91250038,25.25,56.91999817,55.40000153,25.40321922,20.50965118,26.13221931,21.38704491,26.39999962,27.5, 
1491825334,23.41250038,27.16250038,23.9375,26.1875,24.16250038,25.32500076,25.13750076,25.54999924,53.91999817,53.59999847,25.63019753,20.38147545,26.27374649,21.34279442,26.5,26.79999924, 
1491825367,23.60000038,27.35000038,24.125,26.33749962,24.38750076,25.54999924,25.32500076,25.77499962,54.20000076,66.51999664,25.86785698,20.30670547,26.41527367,21.33211327,26.70000076,26.29999924, 
1491825400,23.78750038,27.5,24.3125,26.45000076,24.57500076,25.73749924,25.54999924,25.96249962,57.52000046,50.40000153,26.06279182,20.30365372,26.58350563,21.30922318,26.79999924,26.29999924, 
1491825433,24.01250076,27.6875,24.46249962,26.60000038,24.875,25.92499924,25.8125,26.1875,56.31999969,67.40000153,26.34584618,20.26550674,26.75440598,21.22377396,26.89999962,26.39999962, 
1491825467,24.23749924,27.875,24.61249924,26.71249962,25.10000038,26.11249924,26,26.41250038,53.72000122,61.20000076,26.57015419,20.13885689,26.92263603,21.12764168,27,26.20000076, 
1491825500,24.46249962,27.91250038,24.79999924,26.97500038,25.32500076,26.29999924,26.26250076,26.63750076,67.80000305,55.11999893,26.82650566,20.04577637,27.06149292,21.06355476,27.10000038,25.79999924, 
1491825533,24.61249924,28.10000038,24.95000076,26.9375,25.47500038,26.48749924,26.48749924,26.82500076,51.79999924,52.40000153,27.0214386,20.04272461,27.20035172,21.02082825,27.29999924,25.20000076, 
1491825566,24.79999924,28.25,25.13750076,27.08749962,25.77499962,26.71249962,26.71249962,27.08749962,66.12000275,48.11999893,27.24574661,19.96490479,27.35523033,20.97200012,27.39999962,25, 
1491825599,25.02499962,28.39999962,25.28750038,27.20000076,26.03750038,26.9375,26.9375,27.27499962,53.91999817,51.52000046,27.48874664,20.01831055,27.53948212,20.94911194,27.5,24.79999924, 
1491825632,25.21249962,28.54999924,25.4375,27.3125,26.26250076,27.125,27.16250038,27.53750038,52.40000153,62.52000046,27.69703293,19.95574951,27.68100929,20.88502312,27.70000076,24.60000038, 
1491825665,25.39999962,28.66250038,25.625,27.46249962,26.48749924,27.3125,27.38750076,27.72500038,56.59999847,59.31999969,27.88128471,20.00457764,27.81986809,20.89265251,27.79999924,24.29999924, 
1491825698,25.58749962,28.92499924,25.77499962,27.57500076,26.71249962,27.53750038,27.57500076,27.91250038,45.59999847,46.79999924,28.03616333,20.03204346,27.96139526,20.79346848,27.89999962,23.79999924, 
1491825731,25.73749924,29,25.92499924,27.6875,26.9375,27.72500038,27.83749962,28.13750076,54.11999893,52.11999893,28.22041702,19.98779297,28.089571,20.72785568,28.10000038,23.70000076, 
1491825764,25.92499924,29.11249924,26.07500076,27.79999924,27.125,27.83749962,28.02499962,28.25,57.91999817,68.59999847,28.3165493,20.04730225,28.20172501,20.77058029,28.20000076,23.79999924, 
1491825797,26.07500076,29.26250076,26.22500038,27.91250038,27.38750076,28.02499962,28.25,28.4375,59,48.79999924,28.47142792,20.04119873,28.32723045,20.76142502,28.29999924,23.89999962, 
1491825830,26.22500038,29.375,26.375,27.98749924,27.53750038,28.17499924,28.47500038,28.58749962,45.52000046,51.11999893,28.62897682,19.96337891,28.4527359,20.80567551,28.29999924,23.89999962, 
1491825863,26.33749962,29.48749924,26.52499962,28.10000038,27.76250076,28.32500076,28.70000076,28.77499962,48.91999817,58.79999924,28.79720688,19.96948242,28.58091164,20.77515793,28.39999962,23.79999924, 
1491825896,26.48749924,29.63750076,26.67499924,28.21249962,27.95000076,28.47500038,28.96249962,28.96249962,62.91999817,55.11999893,28.93606377,19.9786377,28.6797123,20.78278732,28.5,23.70000076, 
1491825929,26.67499924,29.86249924,26.82500076,28.32500076,28.13750076,28.625,29.1875,29.11249924,51.11999893,66.51999664,29.07759285,20.00610352,28.83459282,20.71564865,28.60000038,23.70000076, 
1491825962,26.78750038,29.89999962,26.9375,28.54999924,28.28750038,28.73749924,29.41250038,29.29999924,45.20000076,64.31999969,29.21912003,19.96032715,28.96009827,20.72785568,28.79999924,23.5, 
1491825996,26.9375,30.04999924,27.08749962,28.51250076,28.36249924,28.88750076,29.60000038,29.45000076,61.79999924,61.31999969,29.34729576,20.00915527,29.09895515,20.6973381,28.89999962,23.20000076, 
1491826029,27.04999924,30.16250038,27.20000076,28.58749962,28.625,29,29.78750038,29.63750076,66.59999847,58.40000153,29.49950409,20.08697701,29.22980118,20.67444801,29,22.79999924, 
1491826062,27.20000076,30.27499962,27.35000038,28.70000076,28.77499962,29.14999962,30.01250076,29.78750038,60.31999969,63.72000122,29.62767982,20.07476997,29.3392849,20.6607151,29.10000038,22.60000038, 
1491826095,27.3125,30.42499924,27.46249962,28.8125,28.88750076,29.22500038,30.16250038,29.89999962,56.52000046,52.91999817,29.69710922,20.0289917,29.4514389,20.62867165,29.20000076,22.5, 
1491826128,27.46249962,30.5,27.57500076,28.88750076,29.03750038,29.33749962,30.27499962,30.04999924,58.91999817,50.52000046,29.79590988,20.16021919,29.59296608,20.65613747,29.29999924,22.39999962, 
1491826161,27.57500076,30.6875,27.6875,28.96249962,29.14999962,29.41250038,30.38750076,30.16250038,68.59999847,59.52000046,29.88136101,20.11139107,29.67574501,20.64240456,29.39999962,22.10000038, 
1491826194,27.6875,30.76250076,27.79999924,29.1875,29.26250076,29.52499962,30.5,30.27499962,57.20000076,65.59999847,29.91073418,20.18463326,29.76119614,20.61341286,29.39999962,21.70000076, 
1491826227,27.79999924,30.79999924,27.91250038,29.14999962,29.375,29.60000038,30.61249924,30.35000038,44.52000046,68.91999817,29.98016357,20.22583389,29.87602043,20.63782692,29.5,21.39999962, 
1491826260,27.91250038,30.95000076,27.98749924,29.22500038,29.48749924,29.67499924,30.72500038,30.46249962,49.52000046,59.52000046,30.10566902,20.19684219,29.97215271,20.62714577,29.60000038,21.39999962, 
1491826293,28.02499962,31.0625,28.10000038,29.29999924,29.5625,29.78750038,30.83749962,30.57500076,57.11999893,54.91999817,30.16174507,20.18463326,30.10032845,20.6317234,29.70000076,21.5, 
1491826326,28.13750076,31.13750076,28.21249962,29.375,29.67499924,29.86249924,30.95000076,30.72500038,54.20000076,68,30.3166256,20.23041153,30.16975594,20.58289528,29.79999924,21.5, 
1491826359,28.21249962,31.25,28.28750038,29.45000076,29.78750038,29.9375,31.02499962,30.83749962,61.52000046,55.31999969,30.48752594,20.18310738,30.25253677,20.62714577,29.79999924,21.5, 
1491826392,28.32500076,31.39999962,28.39999962,29.52499962,29.9375,30.04999924,31.10000038,30.98749924,57.11999893,58.59999847,30.57030678,20.19226456,30.3379879,20.63324928,29.89999962,21.5, 
1491826425,28.4375,31.4375,28.51250076,29.75,30.01250076,30.125,31.21249962,31.10000038,47.20000076,55.52000046,30.69848251,20.18005562,30.47951508,20.58594704,30,21.5, 
1491826458,28.54999924,31.54999924,28.58749962,29.67499924,30.125,30.23749924,31.28750038,31.25,51.72000122,55.59999847,30.85069084,20.11902046,30.60502052,20.51728058,30.20000076,21.20000076, 
1491826491,28.625,31.58749962,28.66250038,29.75,30.23749924,30.35000038,31.39999962,31.32500076,55.59999847,66.91999817,30.96284485,20.17852974,30.69047165,20.5813694,30.29999924,20.70000076, 
1491826525,28.73749924,31.70000076,28.77499962,29.82500076,30.35000038,30.42499924,31.47500038,31.4375,45.72000122,52,31.05096436,20.21973038,30.80262375,20.52796173,30.29999924,20.20000076, 
1491826558,28.85000038,31.77499962,28.85000038,29.86249924,30.46249962,30.5,31.54999924,31.51250076,47.52000046,46.11999893,31.10704231,20.17090034,30.87205315,20.48218536,30.29999924,20, 
1491826591,28.92499924,31.85000038,28.92499924,29.9375,30.53750038,30.57500076,31.58749962,31.625,68,53.72000122,31.21919632,20.28381729,30.95750427,20.54169464,30.39999962,20.20000076, 
1491826624,29,32,29.03750038,30.01250076,30.64999962,30.6875,31.70000076,31.73749924,64.40000153,46.79999924,31.31799889,20.20294571,31.05630493,20.56458473,30.5,20.60000038, 
1491826657,29.11249924,32,29.11249924,30.04999924,30.72500038,30.76250076,31.77499962,31.8125,56.72000122,56.40000153,31.47020721,20.26550674,31.12840462,20.56763649,30.5,21, 
1491826690,29.22500038,32.07500076,29.22500038,30.125,30.79999924,30.83749962,31.85000038,31.92499924,59.59999847,52.11999893,31.65712929,20.15106392,31.2245369,20.59510231,30.60000038,21.10000038, 
1491826723,29.29999924,32.15000153,29.26250076,30.20000076,30.95000076,30.95000076,31.96249962,32.07500076,50.79999924,60.11999893,31.76928329,20.10528755,31.25391006,20.59662819,30.70000076,20.79999924, 
1491826756,29.33749962,32.1875,29.33749962,30.27499962,31.0625,31.02499962,32.03749847,32.1875,45.59999847,51.20000076,31.86808586,20.12817574,31.29396439,20.5813694,30.79999924,20.5, 
1491826789,29.41250038,32.22499847,29.375,30.3125,31.13750076,31.13750076,32.11249924,32.29999924,53.20000076,49.72000122,31.98023987,20.1525898,31.3366909,20.51270294,30.79999924,20.20000076, 
1491826822,29.48749924,32.33750153,29.45000076,30.35000038,31.25,31.17499924,32.22499847,32.45000076,58,66.72000122,32.13512039,20.14343452,31.42214012,20.60883522,30.89999962,20.10000038, 
1491826855,29.5625,32.41249847,29.52499962,30.42499924,31.36249924,31.28750038,32.29999924,32.5625,59.52000046,66.51999664,32.26329422,20.11444283,31.5182724,20.6317234,31,20, 
1491826888,29.63750076,32.41249847,29.63750076,30.5,31.47500038,31.39999962,32.41249847,32.71250153,62.40000153,64.40000153,32.40215302,20.17852974,31.61974525,20.61951637,31.10000038,19.79999924, 
1491826921,29.71249962,32.45000076,29.67499924,30.57500076,31.47500038,31.51250076,32.52500153,32.78749847,49.72000122,48.31999969,32.54634857,20.04272461,31.63309669,20.56916237,31.20000076,19.5, 
1491826954,29.78750038,32.48749924,29.75,30.57500076,31.66250038,31.625,32.59999847,32.90000153,47,54.72000122,32.60242462,20.15716743,31.68917465,20.60425758,31.29999924,19.29999924, 
1491826987,29.82500076,32.52500153,29.78750038,30.61249924,31.8125,31.70000076,32.67499924,32.97499847,55.59999847,57.52000046,32.65850449,20.13885689,31.7452507,20.64545631,31.29999924,19.20000076, 
1491827020,29.9375,32.5625,29.86249924,30.6875,31.88750076,31.77499962,32.71250153,33.04999924,51.79999924,71.72000122,32.72793198,20.19684219,31.8146801,20.65003395,31.29999924,19.29999924, 
1491827054,29.97500038,32.5625,29.89999962,30.72500038,31.96249962,31.85000038,32.78749847,33.125,59,75.31999969,32.68520737,20.28839493,31.88677788,20.61799049,31.39999962,19.39999962, 
1491827087,30.04999924,32.71250153,30.01250076,30.79999924,32.03749847,31.85000038,32.86249924,33.20000076,50.40000153,65.59999847,32.68520737,20.32196617,31.96955872,20.6973381,31.39999962,19.39999962, 
1491827120,30.125,32.63750076,30.125,30.83749962,32.07500076,31.92499924,32.86249924,33.20000076,48.59999847,47.59999847,32.62913132,20.35706139,32.04165649,20.68360329,31.5,19.10000038, 
1491827153,30.16250038,32.67499924,30.16250038,30.875,32.5625,31.92499924,32.90000153,33.95000076,-0.200000003,56,32.54634857,20.44098663,32.0843811,20.6317234,31.5,18.60000038, 
1491827186,30.20000076,32.67499924,30.20000076,30.95000076,70.96250153,49.8125,40.28749847,74.67500305,-0.079999998,58.72000122,32.47425079,21.34279442,32.11375427,20.65155983,31.60000038,18.29999924, 
1491827219,30.27499962,32.71250153,30.23749924,30.98749924,84.72499847,62.48749924,47.67499924,89.11250305,-0.280000001,69.12000275,32.44487762,31.6456852,32.19653702,20.65918922,31.60000038,18.39999962, 
1491827252,30.35000038,32.75,30.3125,31.0625,91.8125,70.58750153,53.86249924,96.3125,-0.280000001,60.11999893,32.54634857,47.92553711,32.29533768,20.62714577,31.70000076,18.70000076, 
1491827285,30.38750076,32.78749847,30.38750076,31.10000038,96.53749847,76.25,59,101,0,56.20000076,32.67185593,63.83306503,32.37812042,20.64698219,31.70000076,19.10000038, 
1491827318,30.46249962,32.90000153,30.42499924,31.13750076,99.94999695,80.52500153,63.23749924,104.3375015,-0.280000001,67.72000122,32.89616394,76.62928009,32.43419647,20.65155983,31.79999924,19.10000038, 
1491827351,30.53750038,32.90000153,30.57500076,31.17499924,102.5749969,83.86250305,66.72499847,106.9250031,-0.400000006,57.79999924,33.12313843,85.54360199,32.47959137,20.67749977,31.89999962,18.79999924, 
1491827384,30.57500076,32.90000153,30.53750038,31.25,104.6374969,86.59999847,69.6875,109.0250015,-0.200000003,56.52000046,33.36079788,90.37308502,32.54901886,20.55084991,32,18.29999924, 
1491827417,30.61249924,32.97499847,30.61249924,31.28750038,106.4000015,88.84999847,72.16249847,110.75,0,52.72000122,33.61714935,92.30945587,32.61844635,20.64698219,32,18.29999924, 
1491827450,30.72500038,33.01250076,30.64999962,31.36249924,107.9000015,90.80000305,74.33750153,112.1750031,-0.079999998,54.11999893,33.8574791,93.01899719,32.64782333,20.65003395,32.09999847,18.39999962, 
1491827483,30.72500038,33.01250076,30.72500038,31.39999962,109.1750031,92.48750305,76.17500305,113.4124985,-0.280000001,58.20000076,33.99633789,92.87556458,32.71725082,20.6683445,32.09999847,18.10000038, 
1491827516,30.76250076,33.01250076,30.76250076,31.4375,110.3375015,93.91249847,77.78749847,114.5374985,0.119999997,49.72000122,34.10848999,92.14465332,32.75997543,20.67444801,32.20000076,17.5, 
1491827549,30.83749962,33.04999924,30.79999924,31.51250076,111.3874969,95.22499847,79.21250153,115.5500031,-0.079999998,52.79999924,34.23666763,91.17417908,32.77332687,20.61799049,32.20000076,16.89999962, 
1491827583,30.875,33.08750153,30.83749962,31.51250076,112.2874985,96.34999847,80.48750305,116.375,-0.079999998,55.52000046,34.47699738,89.84664917,32.84275436,20.6607151,32.20000076,17.10000038, 
1491827616,30.91250038,33.16249847,30.875,31.58749962,113.1125031,97.40000153,81.65000153,117.1624985,-0.280000001,60.59999847,34.67193222,88.40314484,32.9282074,20.6103611,32.29999924,17.5, 
1491827649,30.98749924,33.125,30.98749924,31.625,113.8249969,98.33750153,82.69999695,117.8375015,0,47.52000046,34.87220383,87.29991913,33.00030518,20.61493874,32.29999924,17.60000038, 
1491827682,31.0625,33.20000076,31.02499962,31.8125,114.4625015,99.23750305,83.59999847,118.4749985,-0.200000003,48.72000122,35.05378723,86.16159058,33.08308411,20.65918922,32.40000153,17.5, 
1491827715,31.13750076,33.27500153,31.0625,31.73749924,115.0999985,100.0250015,84.46250153,119.0374985,-0.479999989,60.79999924,35.23804092,84.79286194,33.1551857,20.6973381,32.5,17.39999962, 
1491827748,31.17499924,33.27500153,31.13750076,31.8125,115.6624985,100.7375031,85.21250153,119.5250015,-0.200000003,56.20000076,35.43564606,83.54619598,33.22461319,20.6683445,32.59999847,17.39999962, 
1491827781,31.25,33.34999847,31.21249962,31.85000038,116.1875,101.4124985,85.96250153,119.9749985,-0.280000001,63.59999847,35.64660263,82.47653961,33.32341385,20.56000519,32.70000076,17.29999924, 
1491827814,31.32500076,33.38750076,31.25,31.88750076,116.6374969,102.0500031,86.59999847,120.4625015,-0.079999998,56.40000153,35.87357712,81.48317719,33.33676529,20.65613747,32.79999924,17.20000076, 
1491827847,31.32500076,33.42499924,31.28750038,31.96249962,117.0875015,102.6125031,87.19999695,120.875,-0.400000006,66.12000275,36.0818634,80.5661087,33.36346817,20.65613747,32.79999924,17.20000076, 
